Filename,Extracted Values
X8XX01IX,"{' Called up share capital not paid': 'NaN', 'Fixed Assets  1': '18812', 'Current Assets  55690': '87198', 'Creditors: amounts falling due within one year  (101141': '-151460', 'Net current assets (liabilities)  (45451': '-64262', 'Total assets less current liabilities  ': '-45449', 'Total net assets (liabilities)  ': '-45449', 'Capital and reserves ': '-45449'}"
X8XX01SZ,"{'Called up share capital not paid': 'NaN', 'Net assets': 'NaN', 'Tssued share capital': 'NaN', ' Ordinary Shares  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XX01TN,"{'Called up share capital not paid': 'NaN', 'Net assets': 'NaN', 'Tssued share capital': 'NaN', ' Ordinary Shares  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XX01TV,"{'Current assets': 'NaN', 'Cash at bank and in hand': 'NaN', 'Net assets': 'NaN', 'Issued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XX02AX,"{'Net assets': 'NaN', 'Issued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XX02N7,"{'Current Assets  ': '5751', 'Net current assets (liabilities) ': '5751', 'Total assets less current liabilities  ': '5751', 'Creditors: amounts falling due after more than one': 'NaN', '. (.531': 'NaN', 'Total net assets (liabilities) ': '3220', 'Capital and reserves  ': '3220'}"
X8XX02SY,"{'Current Assets ': '8312', 'Creditors: amounts falling due within one year ': '-5606', 'Net current assets (liabilities)': '2706', 'Total assets less current liabilities ': '2706', 'Total net assets (liabilities)': '2706', 'Capital and reserves ': '2706'}"
X8XX036G,"{'Fixed Assets ': 'NaN', 'Current Assets ': 'NaN', 'Creditors: amounts falling due within one year ': 'NaN', 'Net current assets  (liabilities': 'NaN', 'Total assets less current liabilities ': 'NaN', 'Creditors: amounts falling due after more than one year ': 'NaN', 'Total net assets (liabilities)': 'NaN', 'Capital and reserves': 'NaN'}"
X8XX03IJ,"{'  Called up share capital not paid': 'NaN', 'Net assets  ': '100', 'Tssued share capital': 'NaN', '   Ordinary Shares of Af | each': 'NaN', 'Total Shareholder funds  ': '100'}"
X8XX03S9,"{'Current assets': 'NaN', 'Cash at bank and in hand ': '100', 'Net assets ': '100', 'Issued share capital': 'NaN', ' A Shares 1 of Af each ': '100', 'Total Shareholder funds ': '100'}"
X8XX07H7,"{'Current Assets': 'NaN', 'Prepayments and accrued income': 'NaN', 'Creditors: amounts falling due within one year': 'NaN', 'Net current assets (liabilities)': 'NaN', 'Total assets less current liabilities': 'NaN', 'Creditors: amounts falling due after more than one year': 'NaN', 'Total net assets (liabilities)': 'NaN', 'Capital and reserves': 'NaN'}"
X8XX0ANN,"{'Called up share capital not paid': 'NaN', 'Net assets': 'NaN', 'Tssued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XX0BU1,"{'Current assets': 'NaN', 'Cash at bank and in hand  ': '100', 'Net assets  ': '100', 'Issued share capital': 'NaN', ' Ordinary Shares 1 of Af each  ': '100', 'Total Shareholder funds  ': '100'}"
X8XX0C57,"{'Called up share capital not paid': 'NaN', 'Net assets': 'NaN', 'Tssued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XX0CEA,"{'Current Assets ': '384', 'Creditors: amounts falling due within one year ': '-225', 'Net current assets (liabilities)': '159', 'Total assets less current liabilities ': '159', 'Total net assets (liabilities)': '159', 'Capital and reserves ': '159'}"
X8XZI954,"{'. . Called up share capital not paid': 'NaN', 'Current assets': 'NaN', 'Cash at bank and in hand .00 .00': '100', 'Net assets .00 .00': '100', 'Issued share capital': 'NaN', ' Ordinary Shares of AÂ£1.00 each .00 .00': '100', 'Total Shareholder funds .00 .00': '100'}"
X8XZI9MH,"{'- Called up share capital not paid': 'NaN', 'Fixed Assets ': 'NaN', 'Current Assets  ': '500000', 'Prepayments and accrued income ': 'NaN', 'Net current assets (liabilities) ': '500000', 'Total assets less current liabilities  ': '500000', 'Total net assets (liabilities) ': '500000', 'Capital and reserves  ': '500000'}"
X8XZI9Y0,"{'Fixed assets  770': '578', 'Current assets  ': 'NaN', 'Creditors: amounts falling due within one year  (15032': 'NaN', 'Net current assets  83568': '90936', 'Total assets less current liabilities  84338': '91514', 'Accruals and deferred income  ': '-3850', 'Net assets  80488': '87604', 'Capital and reserves  80488': '87664'}"
X8XZIB3U,"{'Called up share capital not paid': 'NaN', 'Fixed Assets ': '780', 'Current Assets ': '2942', 'Creditors: amounts falling due within one year ': '-5690', 'Net current assets (liabilities)': '-2748', 'Total assets less current liabilities ': '-1968', 'Total net assets (liabilities)': '-1968', 'Capital and reserves ': '-1968'}"
X8XZIBDK,"{'a Called up share capital not paid': 'NaN', 'Fixed Assets': 'NaN', 'Current Assets': 'NaN', 'Prepayments and accrued income': 'NaN', 'Creditors: amounts falling due within one year': 'NaN', 'Net current assets (liabilities)': 'NaN', 'Total assets less current liabilities': 'NaN', 'Creditors: amounts falling due after more than one year': 'NaN', 'Provisions for liabilities': 'NaN', 'Accruals and deferred income': 'NaN', 'Total net assets (liabilities)': 'NaN', 'Capital and reserves': 'NaN'}"
X8XZIBOZ,"{'Called up share capital not paid': 'NaN', 'Fixed Assets ': '23000', 'Current Assets ': '15474', 'Creditors: amounts falling due within one year ': '-35344', 'Net current assets (liabilities)': '-19870', 'Total assets less current liabilities ': '3131', 'Total net assets (liabilities)': '3131', 'Capital and reserves ': '3131'}"
X8XZIBXE,"{'Net assets': 'NaN', 'Reserves': 'NaN'}"
X8XZIBZD,"{'Called up share capital not paid': 'NaN', 'Current Assets  1015': '1016', 'Net current assets (liabilities)  1015': '1016', 'Total assets less current liabilities  1016': '1017', 'Total net assets (liabilities)  1016': '1017', 'Capital and reserves  1016': '1017'}"
X8XZICIB,"{'Current assets': 'NaN', 'Cash at bank and in hand  ': '100', 'Net assets  ': '100', 'Issued share capital': 'NaN', ' Ordinary Shares of Af | each  ': '100', 'Total Shareholder funds  ': '100'}"
X8XZICNE,"{'Current assets': 'NaN', 'Cash at bank and in hand  ': 'NaN', 'Net assets  ': 'NaN', 'Issued share capital': 'NaN', ' Ordinary Shares  of Af each  ': 'NaN', 'Total Shareholder funds  ': 'NaN'}"
X8XZICQX,"{'Current assets': 'NaN', 'Cash at bank and in hand': 'NaN', 'Net assets': 'NaN', 'Issued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XZIDG2,"{'Called up share capital not paid': 'NaN', 'Fixed Assets': 'NaN', 'Current Assets': 'NaN', 'Net current assets (liabilities)': 'NaN', 'Total assets less current liabilities': 'NaN', 'Total net assets (liabilities)': 'NaN', 'Capital and reserves': 'NaN'}"
X8XZIDMH,"{'Current assets': 'NaN', 'Cash at bank and in hand': 'NaN', 'Net assets': 'NaN', 'Issued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XZIE17,"{'Called up share capital not paid  ': '100', 'Net assets  ': '100', 'Tssued share capital': 'NaN', ' Ordinary Share of Af 00 each 00 00': '1', 'Total Shareholder funds  ': '100'}"
X8XZIEI1,"{'Fixed assets  16564': '13251', 'Current assets  ': 'NaN', 'Creditors: amounts falling due within': 'NaN', 'Net current assets  6442': '6645', 'Total assets less current liabilities  23006': '19896', 'Creditors: amounts falling due after': 'NaN', 'Accruals and deferred income  ': '-450', 'Net assets  14736': '15667', 'Capital and reserves  14736': '15667'}"
X8XZIF16,"{'Current Assets  5369': '2386', 'Creditors: amounts falling due within one year  (1285': '-360', 'Net current assets (liabilities)  4084': '2026', 'Total assets less current liabilities  4084': '2026', 'Total net assets (liabilities)  4084': '2026', 'Capital and reserves  4084': '2026'}"
X8XZIFE8,"{'Current assets': 'NaN', 'Cash at bank and in hand': 'NaN', 'Net assets': 'NaN', 'Issued share capital': 'NaN', ' Ordinary Shares  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XZIFNV,"{'Fixed Assets  2845': '2456', 'Current Assets  176642': '212740', 'Creditors: amounts falling due within one year  (64698': '-65764', 'Net current assets (liabilities)  111944': '146976', 'Total assets less current liabilities  114789': '149432', 'Provisions for liabilities  (541': '-467', 'Total net assets (liabilities)  114248': '148965', 'Capital and reserves  114248': '148965', 'Amounts repaid Af': '10561', 'Amounts repaid AÂ£': '19429'}"
X8XZIFZL,"{'Called up share capital not paid': 'NaN', 'Net assets': 'NaN', 'Tssued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XZIG2X,"{'Called up share capital not paid  ': '200', 'Net assets  ': '200', 'Tssued share capital': 'NaN', ' Ordinary Shares 1 of Af each  ': '200', 'Total Shareholder funds  ': '200'}"
X8XZIGW8,"{'Fixed assets  14000': '12000', 'Current assets  ': 'NaN', 'Creditors: amounts falling due within': 'NaN', 'Net current liabilities  (13912': '-13889', 'Total assets less current liabilities  88': '-1889', 'Creditors: amounts falling due after': 'NaN', 'Net liabilities  (10593': '-8089', 'Capital and reserves  (10593': '-8089'}"
X8XZIIRN,"{'Called up share capital not paid': 'NaN', 'Net assets': 'NaN', 'Tssued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XZIIW2,"{'Current assets': 'NaN', 'Cash at bank and in hand': 'NaN', 'Net assets': 'NaN', 'Issued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XZIIYQ,"{'Net assets': 'NaN', 'Reserves': 'NaN'}"
X8XZIJC8,"{'  Called up share capital not paid': 'NaN', 'Net assets  ': '100', 'Tssued share capital': 'NaN', '   Ordinary Shares of Af | each': 'NaN', 'Total Shareholder funds  ': '100'}"
X8XZIKDF,"{'Called up share capital not paid': 'NaN', 'Current Assets ': '7078', 'Creditors: amounts falling due within one year ': '-7047', 'Net current assets (liabilities)': '31', 'Total assets less current liabilities ': '35', 'Total net assets (liabilities)': '35', 'Capital and reserves ': '35'}"
X8XZIKJ6,"{'Current assets': 'NaN', 'Cash at bank and in hand  ': '100', 'Net assets  ': '100', 'Issued share capital': 'NaN', '   Ordinary Shares  of Af each': 'NaN', 'Total Shareholder funds  ': '100'}"
X8XZIKOX,"{'Fixed Assets  13082': '8460', 'Current Assets  13133': '22756', 'Creditors: amounts falling due within one year  (25263': '-27702', 'Net current assets (liabilities)  (12130': '-4946', 'Total assets less current liabilities  952': '3514', 'Total net assets (liabilities)  952': '3514', 'Capital and reserves  952': '3514'}"
X8XZIMDT,"{'Called up share capital not paid': 'NaN', 'Fixed Assets': 'NaN', 'Current Assets': 'NaN', 'Net current assets (liabilities)': 'NaN', 'Total assets less current liabilities ': 'NaN', 'Creditors: amounts falling due after more than one year ': 'NaN', 'Total net assets (liabilities)': 'NaN', 'Capital and reserves ': 'NaN'}"
X8XZIMKG,"{'Current Assets ': '196', 'Creditors: amounts falling due within one year ': '-18', 'Net current assets (liabilities)': '178', 'Total assets less current liabilities ': '178', 'Total net assets (liabilities)': '178', 'Capital and reserves ': '178'}"
X8XZIML4,"{'Current assets': 'NaN', 'Cash at bank and in hand  ': '50', 'Net assets  ': '50', 'Issued share capital': 'NaN', ' Preference Shares 1 of Af each  ': '50', 'Total Shareholder funds  ': '50'}"
X8XZIMQ3,"{'Called up share capital not paid': 'NaN', 'Net assets': 'NaN', 'Tssued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XZIN35,"{'Called up share capital not paid': 'NaN', 'Net assets': 'NaN', 'Tssued share capital': 'NaN', ' Ordinary Shares  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XZINN6,"{'Called up share capital not paid': 'NaN', 'Net assets': 'NaN', 'Tssued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XZINW9,"{'Called up share capital not paid': 'NaN', 'Net assets': 'NaN', 'Tssued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XZIO5G,"{'Fixed assets  ': 'NaN', 'Creditors: Amounts falling due within one year  (7592': '-8895', 'Net current liabilities .875) (5304': '-6', 'Total assets less current liabilities  (4584': '-6299', 'Accruals and deferred income  (420': 'NaN', 'Capital and reserves  (5004': '-6611', 'The company is a private company limited by share capital incorporated in England and Wales.': 'NaN'}"
X8XZIOFU,"{'Fixed Assets  7809': '7264', 'Current Assets  30481': '14291', 'Creditors: amounts falling due within one year  (3864': '-563', 'Net current assets (liabilities)  26617': '13728', 'Total assets less current liabilities  34426': '20992', 'Total net assets (liabilities)  34426': '20992', 'Capital and reserves  34426': '20992'}"
X8XZIOKY,"{'Current Assets ': '10000', 'Net current assets (liabilities)': '10000', 'Total assets less current liabilities ': '10000', 'Total net assets (liabilities)': '10000', 'Capital and reserves ': '10000'}"
X8XZIOV4,"{'Called up share capital not paid  ': '100', 'Net assets  ': '100', 'Tssued share capital': 'NaN', ' A Shares 1 of Af each  ': '100', 'Total Shareholder funds  ': '100'}"
X8XZIOXK,"{'Called up share capital not paid': 'NaN', 'Net assets': 'NaN', 'Tssued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XZIP1V,"{'Current assets': 'NaN', 'Cash at bank and in hand ': 'NaN', 'Creditors: amounts falling': 'NaN', 'Net current assets': 'NaN', 'Net assets': 'NaN', 'Capital and reserves': 'NaN', 'Called up share capital ': 'NaN', 'Shareholders funds': 'NaN'}"
X8XZIPBM,"{'Fixed Assets  88750': '83750', 'Current Assets  110263': '93152', 'Creditors: amounts falling due within one year  (32441': '-29819', 'Net current assets (liabilities)  77822': '63333', 'Total assets less current liabilities  166572': '147083', 'Creditors: amounts falling due after more than one': 'NaN', 'Total net assets (liabilities)  123761': '110013', 'Capital and reserves  123761': '110013'}"
X8XZIPGP,"{'Called up share capital not paid  ': '100', 'Net assets  ': '100', 'Tssued share capital': 'NaN', '  Shares  of Af each  ': 'NaN', 'Total Shareholder funds  ': '100'}"
X8XZIPWZ,"{'Called up share capital not paid': 'NaN', 'Fixed Assets': 'NaN', 'Current Assets': 'NaN', 'Prepayments and accrued income': 'NaN', 'Creditors: amounts falling due within one year': 'NaN', 'Net current assets (liabilities)': 'NaN', 'Total assets less current liabilities': 'NaN', 'Creditors: amounts falling due after more than one year': 'NaN', 'Provisions for liabilities': 'NaN', 'Accruals and deferred income': 'NaN', 'Total net assets (liabilities)': 'NaN', 'Capital and reserves': 'NaN'}"
X8XZIQ16,"{'Current Assets  ': '22560', 'Creditors: amounts falling due within one year  (2038': '-2038', 'Net current assets (liabilities) ': '20522', 'Total assets less current liabilities  ': '20522', 'Total net assets (liabilities) ': '20522', 'Capital and reserves  ': '20522'}"
X8XZIQEG,"{'Current assets': 'NaN', 'Cash at bank and in hand': 'NaN', 'Net assets': 'NaN', 'Issued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XZIR1E,"{'Fixed Assets  ': '46754', 'Current Assets  8268': '8017', 'Creditors: amounts falling due within one year  (64798': '-65151', 'Net current assets (liabilities)  (56530': '-57134', 'Total assets less current liabilities  (9776': '-10380', 'Provisions for liabilities  ': '-7458', 'Accruals and deferred income  ': '-1200', 'Total net assets (liabilities)  (18434': '-19038', 'Capital and reserves  (18434': '-19038'}"
X8XZIR3U,"{'Fixed Assets ': '8326', 'Current Assets ': '17380', 'Creditors: amounts falling due within one year ': '-23723', 'Net current assets (liabilities)': '-6343', 'Total assets less current liabilities ': '1983', 'Total net assets (liabilities)': '1983', 'Capital and reserves ': '1983'}"
X8XZIR7V,"{'Fixed Assets  ': 'NaN', 'Current Assets us': 'NaN', 'Net current assets (liabilities)': '0', 'Total assets less current liabilities  ': 'NaN', 'Creditors: amounts falling due after more than one': 'NaN', 'Total net assets (liabilities)': '2', 'Capital and reserves .': '2'}"
X8XZIRI8,"{'Called up share capital not paid': 'NaN', 'Fixed Assets': 'NaN', 'Current Assets': 'NaN', 'Creditors: amounts falling due within one year ': '-26602', 'Net current assets (liabilities)': '-2198', 'Total assets less current liabilities ': '-2198', ' Creditors: amounts falling due after more than one year': '0', 'Provisions for liabilities ': '0', 'Accruals and deferred income ': '0', 'Total net assets (liabilities)': '-2198', 'Capital and reserves ': '-2198'}"
X8XZIS17,"{'Called up share capital not paid': 'NaN', 'Net assets': 'NaN', 'Tssued share capital': 'NaN', ' Ordinary Shares  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XZIS4B,"{'Fixed Assets ': '960', 'Current Assets ': '1541', 'Creditors: amounts falling due within one year ': '-1209', 'Net current assets (liabilities)': '332', 'Total assets less current liabilities ': '1292', 'Total net assets (liabilities)': '1292', 'Capital and reserves ': '1292'}"
X8XZIS7K,"{'Current assets ': 'NaN', 'Creditors: amounts falling due within one year ': 'NaN', 'Net current assets ': '1280', 'Total assets less current liabilities ': '1280', 'Accruals and deferred income ': '-1273', 'Net assets â€œa': 'NaN', 'Capital and reserves': 'NaN'}"
X8XZISVF,"{'Current assets': 'NaN', 'Cash at bank and in hand  ': '20', 'Net assets  ': '20', 'Issued share capital': 'NaN', ' Ordinary Shares 1 of Af each  ': '20', 'Total Shareholder funds  ': '20'}"
X8XZIT2O,"{'Current assets': 'NaN', 'Cash at bank and in hand ': '12', 'Net assets ': '12', 'Issued share capital': 'NaN', ' Ordinary Shares 1 of Af each ': '12', 'Total Shareholder funds ': '12'}"
X8XZITQ8,"{'Called up share capital not paid': 'NaN', 'Net assets': 'NaN', 'Tssued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XZIUTL,"{'Called up share capital not paid': 'NaN', 'Net assets': 'NaN', 'Tssued share capital': 'NaN', ' Ordinary Shares  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XZIV4B,"{'Current assets': 'NaN', 'Cash at bank and in hand': 'NaN', 'Net assets': 'NaN', 'Issued share capital': 'NaN', ' Ordinary Shares  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XZIVMX,"{'Called up share capital not paid  ': '100', 'Net assets  ': '100', 'Tssued share capital': 'NaN', ' Ordinary Shares 1 of Af each  ': '100', 'Total Shareholder funds  ': '100'}"
X8XZIW68,"{'Called up share capital not paid  ': '100', 'Net assets  ': '100', 'Tssued share capital': 'NaN', ' Ordinary Shares 1 of Af each  ': '100', 'Total Shareholder funds  ': '100'}"
X8XZIWEH,"{'Called up share capital not paid': 'NaN', 'Net assets': 'NaN', 'Tssued share capital': 'NaN', ' Ordinary Shares  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8XZIWI2,"{'Current Assets  50960': '52167', 'Creditors: amounts falling due within one year  (17778': '-16402', 'Net current assets (liabilities)  33182': '35765', 'Total assets less current liabilities  33182': '35765', 'Total net assets (liabilities)  33182': '35765', 'Capital and reserves  33182': '35765'}"
X8Y26BQO,"{'Called up share capital not paid  ': '100', 'Net assets  ': '100', 'Tssued share capital': 'NaN', ' Ordinary Shares 1 of Af each  ': '100', 'Total Shareholder funds  ': '100'}"
X8Y26QBM,"{'Current Assets  14753': '26772', 'Creditors: amounts falling due within one year  (1526': '-1612', 'Net current assets (liabilities)  13227': '25160', 'Total assets less current liabilities  13227': '25160', 'Accruals and deferred income  (1000': '-1800', 'Total net assets (liabilities)  12227': '23360', 'Capital and reserves  12227': '23360'}"
X8Y28615,"{'Called up share capital not paid': 'NaN', 'Net assets': 'NaN', 'Tssued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8Y2878B,"{'Fixed assets  69': '55', 'Current assets  ': 'NaN', 'Creditors: amounts falling due within one year ': 'NaN', 'Net current assets  32627': '38369', 'Total assets less current liabilities  32696': '38424', 'Provisions for liabilities  (13011': '-9044', 'Accruals and deferred income  (1665': '-860', 'Net assets  18020': '28520', 'Capital and reserves  18020': '28520'}"
X8Y287W0,"{'Current assets': 'NaN', 'Cash at bank and in hand ': '100', 'Net assets ': '100', 'Issued share capital': 'NaN', ' Ordinary A Shares 1 of Af each ': '100', 'Total Shareholder funds ': '100'}"
X8Y289DK,"{'Current assets': 'NaN', 'Cash at bank and in hand': 'NaN', 'Net assets': 'NaN', 'Issued share capital': 'NaN', ' Ordinary Shares  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8Y28A2W,"{'Fixed Assets  13397': '11779', 'Current Assets  18499': '43205', 'Creditors: amounts falling due within one year  (22226': '-14407', 'Net current assets (liabilities)  (3727': '28798', 'Total assets less current liabilities  9670': '40577', 'Total net assets (liabilities)  9670': '40577', 'Capital and reserves  9670': '40577'}"
X8Y28AFV,"{'Net assets': 'NaN', 'Reserves': 'NaN'}"
X8Y28AR5,"{'Called up share capital not paid': 'NaN', 'Fixed Assets': 'NaN', 'Current Assets': 'NaN', 'Prepayments and accrued income': 'NaN', 'Creditors: amounts falling due within one year': 'NaN', 'Net current assets (liabilities)': 'NaN', 'Total assets less current liabilities': 'NaN', 'Creditors: amounts falling due after more than one year': 'NaN', 'Provisions for liabilities': 'NaN', 'Accruals and deferred income': 'NaN', 'Total net assets (liabilities)': 'NaN', 'Capital and reserves': 'NaN'}"
X8Y28AVS,"{'Current assets': 'NaN', 'Cash at bank and in hand': 'NaN', 'Net assets': 'NaN', 'Issued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8Y28BDM,"{'Current assets': 'NaN', 'Cash at bank and in hand': 'NaN', 'Net assets': 'NaN', 'Issued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8Y28C76,"{'Fixed assets  5720': '4608', 'Current assets  ': 'NaN', 'Prepayments and accrued income  ': 'NaN', 'Creditors: amounts falling due within one year  (25733': 'NaN', 'Net Current Assets  32696': '38129', 'Total assets less current liabilities  38416': '42737', 'Accruals and deferred income  1902': '1608', 'Net Assets  36514': '41131', 'Capital and reserves  36514': '41131'}"
X8Y28CDT,"{'Current assets': 'NaN', 'Cash at bank and in hand': 'NaN', 'Net assets': 'NaN', 'Issued share capital': 'NaN', ' Ordinary Shares of Af .1 each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8Y28DCG,"{'Current Assets  ': 'NaN', 'Net current assets  (liabilities)': 'NaN', 'Total assets less current liabilities  ': 'NaN', 'Total net assets (liabilities) ': 'NaN', 'Capital and reserves  ': 'NaN'}"
X8Y28DNU,"{'Fixed Assets  ': 'NaN', 'Current Assets  ': 'NaN', 'Creditors: amounts falling due within one year  (10600': 'NaN', 'Net current assets (liabilities)': 'NaN', 'Total assets less current liabilities  ': 'NaN', 'Creditors: amounts falling due after more than one': 'NaN', 'Total net assets (liabilities)': 'NaN', 'Capital and reserves  ': 'NaN'}"
X8Y28E20,"{'Called up share capital not paid': 'NaN', 'Net assets': 'NaN', 'Tssued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8Y28E28,"{' Called up share capital not paid': '500', 'Net assets ': '500', 'Tssued share capital': 'NaN', '  Ordinary Shares  of Af each': '1', 'Total Shareholder funds ': '500'}"
X8Y28E4O,"{'Current assets': 'NaN', 'Cash at bank and in hand ': '100', 'Net assets ': '100', 'Issued share capital': 'NaN', ' Ordinary Shares 1 of Af each ': '100', 'Total Shareholder funds ': '100'}"
X8Y28E9V,"{'Net assets': 'NaN', 'Reserves': 'NaN'}"
X8Y28EQP,"{'Net assets': 'NaN', 'Reserves': 'NaN'}"
X8Y28GDT,"{'Called up share capital not paid': 'NaN', 'Net assets': 'NaN', 'Tssued share capital': 'NaN', ' Ordinary Share  of Af each': 'NaN', 'Total Shareholder funds': 'NaN'}"
X8Y28GK0,"{'Current Assets  50695': '94994', 'Creditors: amounts falling due within one year  (4919': '-11224', 'Net current assets (liabilities)  45776': '83770', 'Total assets less current liabilities  45776': '83770', 'Accruals and deferred income  (260': '-380', 'Total net assets (liabilities)  45516': '83390', 'Capital and reserves  45516': '83390'}"
X8Y28GVE,"{'Current Assets ': '38779', 'Creditors: amounts falling due within one year ': '-2733', 'Net current assets (liabilities)': '36046', 'Total assets less current liabilities ': '36046', 'Creditors: amounts falling due after more than one year ': '-32956', 'Total net assets (liabilities)': '3090', 'Capital and reserves ': '3090'}"
X8Y28HC0,"{'Current assets ': 'NaN', 'Creditors: amounts falling due within': 'NaN', 'Net current assets ': '3325', 'Total assets less current liabilities ': '3325', 'Net assets ': '3325', 'Capital and reserves ': '3325'}"
