,lineitem,relevance
1123,the Companies Act 2006.,1.0
1124,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
1125,with respect to accounting                records and the preparation of accounts.,1.0
1126,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
1127,subject to the small companies regime.,1.0
1128,Approved by the Board on 30 November 2019,1.0
1129,And signed on their behalf by:,1.0
1130,"Mark Mayhew, Director",1.0
1131,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1132,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1133,the Companies Act 2006.,1.0
1134,Balance Sheet,1.0
1135,as at 31 May 2019,1.0
1136,2019                                              2018,2.0
1137,Â£                                                 Â£,1.0
1138,"Fixed assets                                                                                            12,000                                             14,000",2.0
1139,"Current assets                                                                      2191                                               1,820",2.0
1140,Creditors: amounts falling due within,2.0
1141,"one year                                                                        (16,080)                                          (15,732)",2.0
1142,"Net current liabilities                                                                               (13,889)                                          (13,912)",2.0
1143,"Total assets less current liabilities                                                                    (1,889)                                                  88",2.0
1144,Creditors: amounts falling due after,2.0
1145,"more than one year                                                                                      (6,200)                                         (10,681)",2.0
1146,"Net liabilities                                                                                         (8,089)                                         (10,593)",2.0
1147,"Capital and reserves                                                                                     (8,089)                                         (10,593)",2.0
1148,Number                                            Number,1.0
1149,Average number of employee                                                                             2                                                  2,1.0
1150,The company is a private company limited by shares and incorporated in Scotland. Its registered office,1.0
1151,"is 11 Calaisburn Place, Dunfermline, Fife, KY11 4RD.",1.0
1152,The director are satisfied that the company is entities to exemption from the requirement to obtain an,1.0
1153,audit under section 477 of the Companies Act 2006.,1.0
1154,The members have not required the company to obtain an audit in accordance with section 476 of the,1.0
1155,Act.,1.0
1156,The director acknowledge their responsibilities for complying with the requirements of the Companies,1.0
1157,Act 2006 with respect to accounting                       records and the preparation of accounts.,1.0
1158,The accounts           have been prepared in accordance with the micro entity provisions of the Companies Act,1.0
1159,"2006 and FRS 105, The Financial Reporting Standard applicable to the Micro-entity Regime. The",1.0
1160,accounts        have been delivered in accordance with the provisions applicable to companies subject to the,1.0
1161,small companies regime. The profit and loss account                                           has not been delivered to the Registrar of,1.0
1162,Companies,1.0
1166,MARTIN DENNY STOBIE,1.0
1167,Director,1.0
1168,Approved by the board on 17 January 2020,1.0
1169,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1170,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1171,the Companies Act 2006.,1.0
1172,Balance Sheet as at 31 May 2019,1.0
1173,2019           2018,2.0
1174,Â£              Â£,1.0
1175,Called up share capital not paid                                                                            1              1,2.0
1176,Net assets                                                                                                  1              1,2.0
1177,Tssued share capital,2.0
1178,1 Ordinary Share 1 of Â£ each                                                                                1              1,2.0
1179,Total Shareholder funds                                                                                     1              1,2.0
1180,STATEMENTS,1.0
1181,a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1.0
1182,Companies Act 2006 relating to dormant companies,1.0
1183,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
1184,the Companies Act 2006.,1.0
1185,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
1186,with respect to accounting                records and the preparation of accounts.,1.0
1187,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
1188,subject to the small companies regime.,1.0
1189,Approved by the Board on 31 May 2019,1.0
1190,And signed on their behalf by:,1.0
1191,"Obinna Nsoedo, Director",1.0
1192,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1193,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1194,the Companies Act 2006.,1.0
1195,Balance Sheet as at 31 May 2019,1.0
1196,2019           2018,2.0
1197,Â£              Â£,1.0
1198,Current assets,2.0
1199,Cash at bank and in hand                                                                            1              1,2.0
1200,Net assets                                                                                                  1              1,2.0
1201,Issued share capital,2.0
1202,1 Ordinary Share 1 of Â£ each                                                                                 1              1,2.0
1203,Total Shareholder funds                                                                                     1              1,2.0
1204,STATEMENTS,1.0
1205,a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1.0
1206,Companies Act 2006 relating to dormant companies,1.0
1207,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
1208,the Companies Act 2006.,1.0
1209,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
1210,with respect to accounting                records and the preparation of accounts.,1.0
1211,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
1212,subject to the small companies regime.,1.0
1213,Approved by the Board on 31 May 2019,1.0
1214,And signed on their behalf by:,1.0
1215,"Andrea Parkes, Director",1.0
1216,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1217,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1218,the Companies Act 2006.,1.0
1219,Balance Sheet as at 31 January 2020,1.0
1220,2020                             2019,1.0
1221,Â£                                Â£,1.0
1222,Net assets                                                                                0                               0,2.0
1223,Reserves                                                                                   0                               0,2.0
1224,STATEMENTS,1.0
1225,a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,1.0
1226,the Companies Act 2006 relating to dormant companies,1.0
1227,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
1228,the Companies Act 2006.,1.0
1229,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
1230,with respect to accounting                records and the preparation of accounts.,1.0
1231,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
1232,subject to the small companies regime.,1.0
1233,Approved by the Board 2               on     February 2020,1.0
1234,And signed on their behalf by:,1.0
1235,"Simon Falush, Director",1.0
1236,NOTES,2.0
1237,During the year the company acted as an Parent for a person,1.0
1238,Company is limited by guarantee.,1.0
1239,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1240,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1241,the Companies Act 2006.,1.0
1242,Balance Sheet as at 31 May 2019,1.0
1243,2019          2018,2.0
1244,Â£             Â£,1.0
1245,Called up share capital not paid                                                                                    100           100,2.0
1246,Net assets                                                                                                          100           100,2.0
1247,Tssued share capital,2.0
1248,100 Ordinary Shares of Â£ | each                                                                           100           100,2.0
1249,Total Shareholder funds                                                                                             100           100,2.0
1250,STATEMENTS,1.0
1251,a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1.0
1252,Companies Act 2006 relating to dormant companies,1.0
1253,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
1254,the Companies Act 2006.,1.0
1255,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
1256,with respect to accounting                 records and the preparation of accounts.,1.0
1257,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
1258,subject to the small companies regime.,1.0
1259,Approved by the Board 2               on      February 2020,1.0
1260,And signed on their behalf by:,1.0
1261,"John Davis, Director",1.0
1262,NOTES,2.0
1263,During the year the company acted as an Parent for a person,1.0
1264,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1265,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1266,the Companies Act 2006.,1.0
1267,Micro-entity Balance Sheet as at 31 May 2019,1.0
1268,Notes             2019,2.0
1269,Â£,1.0
1270,Called up share capital not paid                                                                                      4,2.0
1271,"Current Assets                                                                                                           7,078",2.0
1272,"Creditors: amounts falling due within one year                                                                         (7,047)",2.0
1273,Net current assets (liabilities)                                                                                              31,2.0
1274,Total assets less current liabilities                                                                                         35,2.0
1275,Total net assets (liabilities)                                                                                                35,2.0
1276,Capital and reserves                                                                                                          35,2.0
1277,For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,1.0
1278,Companies Act 2006 relating to small companies,1.0
1279,Â®     The members have not required the company to obtain an audit in accordance with section 476 of,1.0
1280,the Companies Act 2006.,1.0
1281,Â®     The director acknowledge their responsibilities for complying with the requirements of the,1.0
1282,Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1.0
1283,Â®     The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,1.0
1284,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
1285,Approved by the Board on 31 January 2020,1.0
1286,And signed on their behalf by:,1.0
1287,"Gemma Louise Biddle, Director",1.0
1288,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1289,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1290,the Companies Act 2006.,1.0
1291,Balance Sheet as at 30 April 2019,1.0
1292,2019          2018,2.0
1293,Â£             Â£,1.0
1294,Current assets,2.0
1295,Cash at bank and in hand                                                                                  100           100,2.0
1296,Net assets                                                                                                         100           100,2.0
1297,Issued share capital,2.0
1298,100 Ordinary Shares 1 of Â£ each                                                                          100           100,2.0
1299,Total Shareholder funds                                                                                            100           100,2.0
1300,STATEMENTS,1.0
1301,a.   For the year ending 30 April 2019 the company was entities to exemption under section 480 of the,1.0
1302,Companies Act 2006 relating to dormant companies,1.0
1303,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
1304,the Companies Act 2006.,1.0
1305,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
1306,with respect to accounting                records and the preparation of accounts.,1.0
1307,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
1308,subject to the small companies regime.,1.0
1309,Approved by the Board on 30 April 2019,1.0
1310,And signed on their behalf by:,1.0
1311,"RICHARD BAKER, Director",1.0
1312,NOTES,2.0
1313,During the year the company acted as an Parent for a person,1.0
1314,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1315,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1316,the Companies Act 2006.,1.0
1317,Micro-entity Balance Sheet as at 30 September 2019,1.0
1318,Notes             2019             2018,2.0
1319,Â£                Â£,1.0
1320,"Fixed Assets                                                                                            8,460          13,082",2.0
1321,"Current Assets                                                                                        22,756           13,133",2.0
1322,"Creditors: amounts falling due within one year                                                      (27,702)         (25,263)",2.0
1323,"Net current assets (liabilities)                                                                      (4,946)        (12,130)",2.0
1324,"Total assets less current liabilities                                                                   3,514              952",2.0
1325,"Total net assets (liabilities)                                                                          3,514              952",2.0
1326,"Capital and reserves                                                                                    3,514              952",2.0
1327,Â®     For the year ending 30 September 2019 the company was entities to exemption under section 477,1.0
1328,of the Companies Act 2006 relating to small companies,1.0
1329,Â®     The members have not required the company to obtain an audit in accordance with section 476 of,1.0
1330,the Companies Act 2006.,1.0
1331,Â®     The director acknowledge their responsibilities for complying with the requirements of the,1.0
1332,Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1.0
1333,Â®     The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,1.0
1334,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
1335,Approved by the Board 2               on     February 2020,1.0
1336,And signed on their behalf by:,1.0
1337,"Antonina Di Lieto, Director",1.0
1338,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1339,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1340,the Companies Act 2006.,1.0
1341,Micro-entity Balance Sheet as at 30 September 2018,1.0
1342,Notes              2018,2.0
1343,Â£,1.0
1344,Called up share capital not paid                                                                                        -,2.0
1345,Fixed Assets                                                                                                            -,2.0
1346,"Current Assets                                                                                                          52,100",2.0
1347,"Net current assets (liabilities)                                                                                        52,100",2.0
1348,"Total assets less current liabilities                                                                                   52,100",2.0
1349,"Creditors: amounts falling due after more than one year                                                               (52,000)",2.0
1350,Total net assets (liabilities)                                                                                               100,2.0
1351,Capital and reserves                                                                                                         100,2.0
1352,For the year ending 30 September 2018 the company was entities to exemption under section 477,1.0
1353,of the Companies Act 2006 relating to small companies,1.0
1354,Â®    The members have not required the company to obtain an audit in accordance with section 476 of,1.0
1355,the Companies Act 2006.,1.0
1356,Â®    The director acknowledge their responsibilities for complying with the requirements of the,1.0
1357,Companies Act 2006 with respect to accounting                                records and the preparation of accounts.,1.0
1358,Â®    The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,1.0
1359,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
1360,Approved by the Board on 26 September 2019,1.0
1361,And signed on their behalf by:,1.0
1362,"GRAHAM HENRY BRIDGMAN, Director",1.0
1363,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1364,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1365,the Companies Act 2006.,1.0
1366,Micro-entity Balance Sheet as at 28 February 2019,1.0
1367,Notes          2019,2.0
1368,Â£,1.0
1369,Current Assets                                                                                                               196,2.0
1370,Creditors: amounts falling due within one year                                                                               (18),2.0
1371,Net current assets (liabilities)                                                                                             178,2.0
1372,Total assets less current liabilities                                                                                        178,2.0
1373,Total net assets (liabilities)                                                                                               178,2.0
1374,Capital and reserves                                                                                                         178,2.0
1375,Â®    For the year ending 28 February 2019 the company was entities to exemption under section 477 of,1.0
1376,the Companies Act 2006 relating to small companies,1.0
1377,The members have not required the company to obtain an audit in accordance with section 476 of,1.0
1378,the Companies Act 2006.,1.0
1379,Â®    The director acknowledge their responsibilities for complying with the requirements of the,1.0
1380,Companies Act 2006 with respect to accounting                                records and the preparation of accounts.,1.0
1381,The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,1.0
1382,accordance with the provisions applicable to companies subjcct to the small companies regime.,1.0
1383,Approved by the Board on 30 January 2020,1.0
1384,And signed on their behalf by:,1.0
1385,"G Parton, Director",1.0
1386,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1387,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1388,the Companies Act 2006.,1.0
1389,Balance Sheet as at 31 May 2019,1.0
1390,2019          2018,2.0
1391,Â£             Â£,1.0
1392,Current assets,2.0
1393,Cash at bank and in hand                                                                                    50            50,2.0
1394,Net assets                                                                                                           50            50,2.0
1395,Issued share capital,2.0
1396,50 Preference Shares 1 of Â£ each                                                                            50            50,2.0
1397,Total Shareholder funds                                                                                              50            50,2.0
1398,STATEMENTS,1.0
1399,a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1.0
1400,Companies Act 2006 relating to dormant companies,1.0
1401,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
1402,the Companies Act 2006.,1.0
1403,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
1404,with respect to accounting                records and the preparation of accounts.,1.0
1405,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
1406,subject to the small companies regime.,1.0
1407,Approved by the Board 2               on      February 2020,1.0
1408,And signed on their behalf by:,1.0
1409,"Lala Torop, Director",1.0
1410,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1411,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1412,the Companies Act 2006.,1.0
1413,Balance Sheet as at 31 January 2020,1.0
1414,2020,1.0
1415,Â£,1.0
1416,Called up share capital not paid                                                                                           1,2.0
1417,Net assets                                                                                                                 1,2.0
1418,Tssued share capital,2.0
1419,1 Ordinary Share 1 of Â£ each                                                                                               1,2.0
1420,Total Shareholder funds                                                                                                   1,2.0
1421,STATEMENTS,1.0
1422,a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,1.0
1423,the Companies Act 2006 relating to dormant companies,1.0
1424,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
1425,the Companies Act 2006.,1.0
1426,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
1427,with respect to accounting                records and the preparation of accounts.,1.0
1428,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
1429,subject to the small companies regime.,1.0
1430,Approved by the Board on 31 January 2020,1.0
1431,And signed on their behalf by:,1.0
1432,"MANVINDER HUNDAL, Director",1.0
1433,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1434,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1435,the Companies Act 2006.,1.0
1436,Balance Sheet as at 31 July 2019,1.0
1437,2019           2018,2.0
1438,Â£              Â£,1.0
1439,Called up share capital not paid                                                                            2              2,2.0
1440,Net assets                                                                                                  2              2,2.0
1441,Tssued share capital,2.0
1442,2 Ordinary Shares 1 of Â£ each                                                                               2              2,2.0
1443,Total Shareholder funds                                                                                     2              2,2.0
1444,STATEMENTS,1.0
1445,a.   For the year ending 31 July 2019 the company was entities to exemption under section 480 of the,1.0
1446,Companies Act 2006 relating to dormant companies,1.0
1447,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
1448,the Companies Act 2006.,1.0
1449,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
1450,with respect to accounting                records and the preparation of accounts.,1.0
1451,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
1452,subject to the small companies regime.,1.0
1453,Approved by the Board 2               on      February 2020,1.0
1454,And signed on their behalf by:,1.0
1455,"alan harrison, Director",1.0
1456,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1457,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1458,the Companies Act 2006.,1.0
1459,Balance Sheet as at 31 May 2019,1.0
1460,2019           2018,2.0
1461,Â£              Â£,1.0
1462,Called up share capital not paid                                                                            1              1,2.0
1463,Net assets                                                                                                  1              1,2.0
1464,Tssued share capital,2.0
1465,1 Ordinary Share 1 of Â£ each                                                                                1              1,2.0
1466,Total Shareholder funds                                                                                     1              1,2.0
1467,STATEMENTS,1.0
1468,a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1.0
1469,Companies Act 2006 relating to dormant companies,1.0
1470,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
1471,the Companies Act 2006.,1.0
1472,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
1473,with respect to accounting                records and the preparation of accounts.,1.0
1474,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
1475,subject to the small companies regime.,1.0
1476,Approved by the Board on 31 May 2019,1.0
1477,And signed on their behalf by:,1.0
1478,"Richard Cohen, Director",1.0
1479,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1480,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1481,the Companies Act 2006.,1.0
1482,Balance Sheet as at 30 June 2019,1.0
1483,2019,1.0
1484,Â£,1.0
1485,Called up share capital not paid                                                                                           1,2.0
1486,Net assets                                                                                                                 1,2.0
1487,Tssued share capital,2.0
1488,1 Ordinary Share 1 of Â£ each                                                                                               1,2.0
1489,Total Shareholder funds                                                                                                    1,2.0
1490,STATEMENTS,1.0
1491,a.   For the year ending 30 June 2019 the company was entities to exemption under section 480 of the,1.0
1492,Companies Act 2006 relating to dormant companies,1.0
1493,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
1494,the Companies Act 2006.,1.0
1495,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
1496,with respect to accounting                records and the preparation of accounts.,1.0
1497,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
1498,subject to the small companies regime.,1.0
1499,Approved by the Board on 30 June 2019,1.0
1500,And signed on their behalf by:,1.0
1501,"DIVYANG CHOPRA, Director",1.0
1502,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1503,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1504,the Companies Act 2006.,1.0
1505,Balance Sheet as at 30 April 2019,1.0
1508,2019                            2018,2.0
1509,Â£                               Â£,1.0
1510,Fixed assets                                                                                                                                         576                             720,2.0
1511,"Current assets                                                                                                                                    2,020                           2,288",2.0
1512,"Creditors: Amounts falling due within one year                                                                                                  (8,895)                          (7,592)",2.0
1513,"Net current liabilities                                                                                                                         (6.875)                          (5,304)",2.0
1514,"Total assets less current liabilities                                                                                                            (6,299)                          (4,584)",2.0
1515,Accruals and deferred income                                                                                                                         (312)                           (420),2.0
1516,"(6,611)                          (5,004)",1.0
1517,"Capital and reserves                                                                                                                            (6,611)                          (5,004)",2.0
1518,1                General information,1.0
1519,"The company is a private company limited by share capital, incorporated in England and Wales.",2.0
1520,The address of its registered office is:,1.0
1521,62 Broadfields Ave,1.0
1522,Edgware,1.0
1523,HA8 8SW,1.0
1524,England,1.0
1525,Basis of preparation,1.0
1526,These financial statements have been prepared in accordance with Financial Reporting Standard 102 Section -                                                                            1A,1.0
1527,The Financial Reporting Standard applicable in the UK and Republic of Ireland' and the Companies Act 2006.,1.0
1528,2                Staff numbers,1.0
1529,"The average number of persons employee by the company (including the director during the year, 1 was                                                                    - (2018       1).",1.0
1530,These financial statements have been prepared in accordance with the micro-entity provisions of the Companies Act,1.0
1531,2006 and delivered in accordance with the provisions applicable to companies subject to the small companies regime.,1.0
1532,For the financial year ending 30 April 2019 the company was entities to exemption from audit under section 477 of the,1.0
1533,Companies Act 2006 relating to small companies,1.0
1534,Director responsibilities:,1.0
1535,1 Page,1.0
1536,Micro-entity Balance Sheet as at 30 June 2019,1.0
1537,Notes           2019           2018,2.0
1538,Â£              Â£,1.0
1539,"Fixed Assets                                                                                             7,264          7,809",2.0
1540,"Current Assets                                                                                         14,291         30,481",2.0
1541,"Creditors: amounts falling due within one year                                                            (563)       (3,864)",2.0
1542,"Net current assets (liabilities)                                                                       13,728         26,617",2.0
1543,"Total assets less current liabilities                                                                  20,992         34,426",2.0
1544,"Total net assets (liabilities)                                                                         20,992         34,426",2.0
1545,"Capital and reserves                                                                                   20,992         34,426",2.0
1546,Â®     For the year ending 30 June 2019 the company was entities to exemption under section 477 of the,1.0
1547,Companies Act 2006 relating to small companies,1.0
1548,Â®     The members have not required the company to obtain an audit in accordance with section 476 of,1.0
1549,the Companies Act 2006.,1.0
1550,Â®     The director acknowledge their responsibilities for complying with the requirements of the,1.0
1551,Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1.0
1552,Â®     The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,1.0
1553,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
1554,Approved by the Board on 15 January 2020,1.0
1555,And signed on their behalf by:,1.0
1556,"P Whitaker, Director",1.0
1557,This document was delivered using electronic communications and authenticated in accordance with the,1.0
1558,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
1559,the Companies Act 2006.,1.0
1560,Micro-entity Balance Sheet as at 31 May 2019,1.0
1561,Notes                   2019,2.0
1562,Â£,1.0
1563,"Current Assets                                                                                                         10,000",2.0
1564,"Net current assets (liabilities)                                                                                       10,000",2.0
1565,"Total assets less current liabilities                                                                                  10,000",2.0
1566,"Total net assets (liabilities)                                                                                         10,000",2.0
1567,"Capital and reserves                                                                                                   10,000",2.0
