lineitem,relevance
Companies Act 2006 with respect to accounting                                  records and the preparation of accounts.,1
The accounts           have been prepared in accordance with the micro-entity provisions and delivered in,1
accordance with the provisions applicable to companies subject to the small companies regime.,1
Approved by the Board on 31 January 2020,1
And signed on their behalf by:,1
"Ella Boston, Director",1
"Jessica Rodnight, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Micro-entity Balance Sheet 1 as at                        May 2019,1
Notes             2019              2018,2
Â£                 Â£,1
"Current Assets                                                                                      23,349                  675",2
"Creditors: amounts falling due within one year                                                   (118,053)         (119,662)",2
"Net current assets (liabilities)                                                                   (94,704)        (118,987)",2
"Total assets less current liabilities                                                              (94,704)        (118,987)",2
"Total net assets (liabilities)                                                                     (94,704)        (118,987)",2
"Capital and reserves                                                                               (94,704)        (118,987)",2
Â®     For the year ending 1             May 2019 the company was entities to exemption under section 477 of the,1
Companies Act 2006 relating to small companies,1
The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
Â®     The director acknowledge their responsibilities for complying with the requirements of the,1
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1
The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,1
accordance with the provisions applicable to companies subjcct to the small companies regime.,1
Approved by the Board on 31 January 2020,1
And signed on their behalf by:,1
"Jianhong GU, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Balance Sheet as at 31 May 2018,1
2018,2
Â£,1
Current assets,2
Cash at bank and in hand                                                                                          1,2
Net assets                                                                                                                 1,2
Issued share capital,2
1 Ordinary Share 1 of Â£ each                                                                                               1,2
Total Shareholder funds                                                                                                    1,2
STATEMENTS,1
a.   For the year ending 31 May 2018 the company was entities to exemption under section 480 of the,1
Companies Act 2006 relating to dormant companies,1
b.   The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1
with respect to accounting                records and the preparation of accounts.,1
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1
subject to the small companies regime.,1
Approved by the Board on | February 2020,1
And signed on their behalf by:,1
"James Wilson, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Micro-entity Balance Sheet as at 31 May 2019,1
Notes             2019,2
Â£,1
"Called up share capital not paid                                                                                         1,000",2
"Current Assets                                                                                                          4,240",2
"Creditors: amounts falling due within one year                                                                         (3,082)",2
"Net current assets (liabilities)                                                                                         1,158",2
"Total assets less current liabilities                                                                                   2,158",2
"Total net assets (liabilities)                                                                                          2,158",2
"Capital and reserves                                                                                                    2,158",2
For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,1
Companies Act 2006 relating to small companies,1
Â®     The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
Â®     The director acknowledge their responsibilities for complying with the requirements of the,1
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1
Â®     The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,1
accordance with the provisions applicable to companies subject to the small companies regime.,1
Approved by the Board on 31 January 2020,1
And signed on their behalf by:,1
"Robert Jones, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Balance Sheet as at 31 May 2019,1
2019          2018,2
Â£             Â£,1
Called up share capital not paid                                                                                  100           100,2
Net assets                                                                                                         100           100,2
Tssued share capital,2
100 Ordinary Shares 1 of Â£ each                                                                          100           100,2
Total Shareholder funds                                                                                           100           100,2
STATEMENTS,1
a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1
Companies Act 2006 relating to dormant companies,1
b.   The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1
with respect to accounting                records and the preparation of accounts.,1
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1
subject to the small companies regime.,1
Approved by the Board 7               on      January 2020,1
And signed on their behalf by:,1
"Roger Newham, Director",1
"Nigel Cairns, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Balance Sheet as at 30 November 2019,1
2019,2
Â£,1
Current assets,2
Cash at bank and in hand                                                                                          1,2
Net assets                                                                                                                 1,2
Issued share capital,2
1 Ordinary Share 1 of Â£ each                                                                                               1,2
Total Shareholder funds                                                                                     1,2
STATEMENTS,1
a.   For the year ending 30 November 2019 the company was entities to exemption under section 480,1
of the Companies Act 2006 relating to dormant companies,1
b.   The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1
with respect to accounting                records and the preparation of accounts.,1
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1
subject to the small companies regime.,1
Approved by the Board 1               on      February 2020,1
And signed on their behalf by:,1
"KAMRAN KHAN, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Micro-entity Balance Sheet as at 30 April 2019,1
Notes       2019       2018,2
Â£          Â£,1
Called up share capital not paid                                                                               -          -,2
Fixed Assets                                                                                                  1           1,2
Current Assets                                                                                                      254        254,2
Prepayments and accrued income                                                                                 -          -,2
Creditors: amounts falling due within one year                                                                0          0,2
Net current assets (liabilities)                                                                                    254        254,2
Total assets less current liabilities                                                                               255        255,2
Creditors: amounts falling due after more than one year                                                       0          0,2
Provisions for liabilities                                                                                    0          0,2
Accruals and deferred income                                                                                  0          0,2
Total net assets (liabilities)                                                                                      255        255,2
Capital and reserves                                                                                                255        255,2
For the year ending 30 April 2019 the company was entities to exemption under section 477 of the,1
Companies Act 2006 relating to small companies,1
Â®    The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
Â®    The director acknowledge their responsibilities for complying with the requirements of the,1
Companies Act 2006 with respect to accounting                                  records and the preparation of accounts.,1
The accounts           have been prepared in accordance with the micro-entity provisions and delivered in,1
accordance with the provisions applicable to companies subject to the small companies regime.,1
Approved by the Board on 29 January 2020,1
And signed on their behalf by:,1
"Keith Berry, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Balance Sheet as at 31 January 2020,1
2020           2019,2
Â£              Â£,1
Current assets,2
Cash at bank and in hand                                                                           2              2,2
Net assets                                                                                                  2              2,2
Issued share capital,2
2           Ordinay Shares of Â£ | each                                                                      2              2,2
Total Shareholder funds                                                                                     2              2,2
STATEMENTS,1
a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,1
the Companies Act 2006 relating to dormant companies,1
b.   The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1
with respect to accounting                records and the preparation of accounts.,1
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1
subject to the small companies regime.,1
Approved by the Board on 31 January 2020,1
And signed on their behalf by:,1
"Royston Maurier, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Micro-entity Balance Sheet as at 30 April 2019,1
Notes             2019              2018,2
Â£                 Â£,1
Called up share capital not paid                                                                    1                 1,2
"Fixed Assets                                                                                         18,812           1",2
"Current Assets                                                                                      87,198            55,690",2
"Creditors: amounts falling due within one year                                                  (151,460)          (101,141)",2
"Net current assets (liabilities)                                                                  (64,262)           (45,451)",2
"Total assets less current liabilities                                                             (45,449)           (45,449)",2
"Total net assets (liabilities)                                                                    (45,449)           (45,449)",2
"Capital and reserves                                                                              (45,449)           (45,449)",2
For the year ending 30 April 2019 the company was entities to exemption under section 477 of the,1
Companies Act 2006 relating to small companies,1
Â®     The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
Â®     The director acknowledge their responsibilities for complying with the requirements of the,1
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1
Â®     The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,1
accordance with the provisions applicable to companies subject to the small companies regime.,1
Approved by the Board on 31 January 2020,1
And signed on their behalf by:,1
"A Burrows, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Balance Sheet as at 31 January 2020,1
2020,2
Â£,1
Called up share capital not paid                                                                                          2,2
Net assets                                                                                                                 2,2
Tssued share capital,2
2 Ordinary Shares 1 of Â£ each                                                                                              2,2
Total Shareholder funds                                                                                                   2,2
STATEMENTS,1
a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,1
the Companies Act 2006 relating to dormant companies,1
b.   The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1
with respect to accounting                records and the preparation of accounts.,1
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1
subject to the small companies regime.,1
Approved by the Board on 31 January 2020,1
And signed on their behalf by:,1
"Hitesh Parmar, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Balance Sheet as at 31 March 2019,1
2019,2
Â£,1
Called up share capital not paid                                                                                           2,2
Net assets                                                                                                                 2,2
Tssued share capital,2
2 Ordinary Shares 1 of Â£ each                                                                                              2,2
Total Shareholder funds                                                                                                    2,2
STATEMENTS,1
a.   For the year ending 31 March 2019 the company was entities to exemption under section 480 of the,1
Companies Act 2006 relating to dormant companies,1
b.   The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1
with respect to accounting                records and the preparation of accounts.,1
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1
subject to the small companies regime.,1
Approved by the Board on | April 2019,1
And signed on their behalf by:,1
"Amanda Sherriff, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Balance Sheet as at 30 April 2019,1
2019           2018,2
Â£              Â£,1
Current assets,2
Cash at bank and in hand                                                                            1              1,2
Net assets                                                                                                  1              1,2
Issued share capital,2
1 Ordinary Share 1 of Â£ each                                                                                 1              1,2
Total Shareholder funds                                                                                     1              1,2
STATEMENTS,1
a.   For the year ending 30 April 2019 the company was entities to exemption under section 480 of the,1
Companies Act 2006 relating to dormant companies,1
b.   The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1
with respect to accounting                records and the preparation of accounts.,1
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1
subject to the small companies regime.,1
Approved by the Board on | February 2020,1
And signed on their behalf by:,1
"Nathan Plant, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Balance Sheet as at 31 May 2019,1
2019           2018,2
Â£              Â£,1
Net assets                                                                                                  0              0,2
Issued share capital,2
1 Ordinary Share 0 of Â£ each                                                                                0              0,2
Total Shareholder funds                                                                                     0              0,2
STATEMENTS,1
a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1
Companies Act 2006 relating to dormant companies,1
b.   The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1
with respect to accounting                 records and the preparation of accounts.,1
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1
subject to the small companies regime.,1
Approved by the Board 1               on      February 2020,1
And signed on their behalf by:,1
"Natalie Toppin, Director",1
NOTES,1
During the year the company acted as an Parent for a person,1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Micro-entity Balance Sheet as at 31 May 2019,1
Notes         2019         2018,2
Â£            Â£,1
"Current Assets                                                                                              5,751        5,751",2
"Net current assets (liabilities)                                                                            5,751        5,751",2
"Total assets less current liabilities                                                                       5,751        5,751",2
Creditors: amounts falling due after more than one,2
"2.,531)      (2.531)",2
year,2
"Total net assets (liabilities)                                                                              3,220        3,220",2
"Capital and reserves                                                                                        3,220        3,220",2
Â®     For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,1
Companies Act 2006 relating to small companies,1
The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
Â®     The director acknowledge their responsibilities for complying with the requirements of the,1
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1
Â®     The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,1
accordance with the provisions applicable to companies subject to the small companies regime.,1
Approved by the Board on 31 January 2020,1
And signed on their behalf by:,1
"Zuhaib Saleem, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Micro-entity Balance Sheet as at 31 May 2019,1
Notes             2019,2
Â£,1
"Current Assets                                                                                                           8,312",2
"Creditors: amounts falling due within one year                                                                          (5,606)",2
"Net current assets (liabilities)                                                                                         2,706",2
"Total assets less current liabilities                                                                                    2,706",2
"Total net assets (liabilities)                                                                                           2,706",2
"Capital and reserves                                                                                                     2,706",2
Â®     For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,1
Companies Act 2006 relating to small companies,1
The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
Â®     The director acknowledge their responsibilities for complying with the requirements of the,1
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1
The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,1
accordance with the provisions applicable to companies subjcct to the small companies regime.,1
Approved by the Board on | February 2020,1
And signed on their behalf by:,1
"Josh Dyer, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Micro-entity Balance Sheet as at 31 July 2019,1
Notes 2019               2018,2
Â£             Â£,1
Fixed Assets                                                                                              -                  202,2
"Current Assets                                                                                            -              10,833",2
"Creditors: amounts falling due within one year                                                            0              (2,466)",2
Net current assets (liabilities)                                                                          0               8367,2
"Total assets less current liabilities                                                                     0               8,569",2
"Creditors: amounts falling due after more than one year                                                   0              (5,083)",2
Total net assets (liabilities)                                                                            0               3486,2
"Capital and reserves                                                                                      0               3,486",2
For the year ending 31 July 2019 the company was entities to exemption under section 477 of the,1
Companies Act 2006 relating to small companies,1
Â®    The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
Â®    The director acknowledge their responsibilities for complying with the requirements of the,1
Companies Act 2006 with respect to accounting                                 records and the preparation of accounts.,1
Â®    The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,1
accordance with the provisions applicable to companies subject to the small companies regime.,1
Approved by the Board on 13 January 2020,1
And signed on their behalf by:,1
"ATTA MOHE-UD-DIN, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Balance Sheet as at 30 April 2019,1
2019          2018,2
Â£             Â£,1
Called up share capital not paid                                                                                   100            100,2
Net assets                                                                                                         100           100,2
Tssued share capital,2
100 Ordinary Shares of Â£ | each                                                                           100           100,2
Total Shareholder funds                                                                                            100           100,2
STATEMENTS,1
a.   For the year ending 30 April 2019 the company was entities to exemption under section 480 of the,1
Companies Act 2006 relating to dormant companies,1
b.   The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1
with respect to accounting                 records and the preparation of accounts.,1
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1
subject to the small companies regime.,1
Approved by the Board on 31 January 2020,1
And signed on their behalf by:,1
"Kerry McNair, Director",1
NOTES,1
During the year the company acted as an Parent for a person,1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Balance Sheet as at 31 May 2019,1
2019,2
Â£,1
Current assets,2
Cash at bank and in hand                                                                                                100,2
Net assets                                                                                                                       100,2
Issued share capital,2
100 A Shares 1 of Â£ each                                                                                               100,2
Total Shareholder funds                                                                                                          100,2
STATEMENTS,1
a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1
Companies Act 2006 relating to dormant companies,1
b.   The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1
with respect to accounting                records and the preparation of accounts.,1
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1
subject to the small companies regime.,1
Approved by the Board on 31 May 2019,1
And signed on their behalf by:,1
"Daniel Mukiibi, Director",1
NOTES,1
During the year the company acted as an Parent for a person,1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Micro-entity Balance Sheet as at 31 October 2016,1
Notes       2016,2
Â£,1
Current Assets                                                                                                            -,2
Prepayments and accrued income                                                                                            -,2
Creditors: amounts falling due within one year                                                                           0,2
Net current assets (liabilities)                                                                                         0,2
Total assets less current liabilities                                                                                    0,2
Creditors: amounts falling due after more than one year                                                                  0,2
Total net assets (liabilities)                                                                                           0,2
Capital and reserves                                                                                                     0,2
For the year ending 31 October 2016 the company was entities to exemption under section 477 of,1
the Companies Act 2006 relating to small companies,1
Â®    The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
Â®    The director acknowledge their responsibilities for complying with the requirements of the,1
Companies Act 2006 with respect to accounting                                  records and the preparation of accounts.,1
Â®    The accounts           have been prepared in accordance with the micro-entity provisions and delivered in,1
accordance with the provisions applicable to companies subject to the small companies regime.,1
Approved by the Board on | February 2019,1
And signed on their behalf by:,1
"Maliha MAJED ALLAHALIYA, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Balance Sheet as at 31 January 2020,1
2020           2019,2
Â£              Â£,1
Called up share capital not paid                                                                            1              1,2
Net assets                                                                                                  1              1,2
Tssued share capital,2
1 Ordinary Share 1 of Â£ each                                                                                1              1,2
Total Shareholder funds                                                                                     1              1,2
STATEMENTS,1
a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,1
the Companies Act 2006 relating to dormant companies,1
b.   The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1
with respect to accounting                records and the preparation of accounts.,1
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1
subject to the small companies regime.,1
Approved by the Board on | February 2020,1
And signed on their behalf by:,1
"B JASSAT, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Balance Sheet as at 31 May 2019,1
2019          2018,2
Â£             Â£,1
Current assets,2
Cash at bank and in hand                                                                                 100           100,2
Net assets                                                                                                        100           100,2
Issued share capital,2
100 Ordinary Shares 1 of Â£ each                                                                          100           100,2
Total Shareholder funds                                                                                           100           100,2
STATEMENTS,1
a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1
Companies Act 2006 relating to dormant companies,1
b.   The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1
with respect to accounting                records and the preparation of accounts.,1
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1
subject to the small companies regime.,1
Approved by the Board 1               on      February 2020,1
And signed on their behalf by:,1
"Jason Korsner, Director",1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Balance Sheet as at 31 January 2020,1
2020            2019,2
Â£               Â£,1
Called up share capital not paid                                                                             1              1,2
Net assets                                                                                                   1              1,2
Tssued share capital,2
1 Ordinary Share 1 of Â£ each                                                                                 1              1,2
Total Shareholder funds                                                                                      1              1,2
STATEMENTS,1
a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,1
the Companies Act 2006 relating to dormant companies,1
b.   The members have not required the company to obtain an audit in accordance with section 476 of,1
the Companies Act 2006.,1
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1
with respect to accounting                 records and the preparation of accounts.,1
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1
subject to the small companies regime.,1
Approved by the Board on 31 January 2020,1
And signed on their behalf by:,1
"RASHAD JAVID, Director",1
NOTES,1
During the year the company acted as an Parent for a person,1
This document was delivered using electronic communications and authenticated in accordance with the,1
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1
the Companies Act 2006.,1
Micro-entity Balance Sheet as at 31 January 2019,1
Notes          2019,2
Â£,1
Current Assets                                                                                                              384,2
Creditors: amounts falling due within one year                                                                             (225),2
Net current assets (liabilities)                                                                                             159,2
Total assets less current liabilities                                                                                        159,2
Total net assets (liabilities)                                                                                               159,2
Capital and reserves                                                                                                         159,2
